Sentence1,Sentence2
,
How are AUROC scores computed with just two vectors of actual and predicted values as input?,"How to calculate Area Under the Curve (AUC), or the c-statistic, by hand"
,
Calculating Goodness of Fit in Multiple Regression,What does goodness of fit mean in context of linear regression
,
Ridge and Lasso Regression: Should I drop one reference category like in OLS?,Dropping one of the columns when using one-hot encoding
,
Loss function can not converge during training neural network,What should I do when my neural network doesn't learn?
,
What am I missing in designing ANN?,What should I do when my neural network doesn't learn?
,
Neural Network is not predicting the results,What should I do when my neural network doesn't learn?
,
What should be examined when feedforward neural network does not fit the training set well?,What should I do when my neural network doesn't learn?
,
Neural Network for Rain Prediction - Only Learning Averages,What should I do when my neural network doesn't learn?
,
How to tell which variable is perfectly separated in R,How to deal with perfect separation in logistic regression?
,
Average Precision or FBeta & Decision Threshold Tuning for Binary Classifier,Why is accuracy not the best measure for assessing classification models?
,
binary logistic regression with large sample size,Logistic regression with poor goodness of fit (hosmer lemeshow)?
,
Neural Network gives exact same values of previous day for 1 day ahead prediction,What should I do when my neural network doesn't learn?
,
Optimization algorithm where calculating the function is very costly,Optimization when Cost Function Slow to Evaluate
,
How to Compare of Knowledge using questionnaire for paired data?,Before and after data: Which test for average comparison of Likert scale data?
,
An example of a bivariate distribution with normal marginals and a nonlinear conditional mean curve?,Conditional expectation of two identical marginal normal random variables
,
PCA to choose variables based on its loadings on PC1,Using principal component analysis (PCA) for feature selection
,
How to fit exponential y=A(1-exp(B*X)) function to a given data set? Especially how to determine the initial start parameters?,"Why is nls() giving me ""singular gradient matrix at initial parameter estimates"" errors?"
,
Cannot understand this residuals plot in r,Interpreting the residuals vs. fitted values plot for verifying the assumptions of a linear model
,
Principal component regression: some loadings are null. Is there any problem?,What do empty (missing) values in the output of PCA or factor analysis mean in R?
,
Should one merge training and testing sets when predicting a class of a new sample?,Training on the full dataset after cross-validation?
,
"How to stretch a time series to any length, n, without padding?",Predicting Clothing Size Ratios when different products have different size methodologies
,
SVM - Reason for using Lagrangian Dual,Why bother with the dual problem when fitting SVM?
,
"Is it ""safe"" to ignore perfect random effect correlations in glmer?",What to do with random effects correlation that equals 1 or -1?
,
Is it OK to sample based on the DV?,Training a decision tree against unbalanced data
,
Deriving Transition Matrix of the Embedded Markov Chain given the generator matrix?,"Deriving transition matrix from infinitesimal generator, continuous time Markov chain"
,
what is the difference between binary cross entropy and categorical cross entropy?,Should I use a categorical cross-entropy or binary cross-entropy loss for binary predictions?
,
How to test if there is any significance difference between the areas under under two curves,"Statistical significance (p-value) for comparing two classifiers with respect to (mean) ROC AUC, sensitivity and specificity"
,
Relation between the number of support vectors and the value of parameter C,SVM: Why does the number of support vectors decrease when C is increased?
,
Wanted: Statistical test to compare array with single value,"Statistical significance (p-value) for comparing two classifiers with respect to (mean) ROC AUC, sensitivity and specificity"
,
Difference of nearest-neighbour clustering and K-nearest neighbor clustering,What are the main differences between K-means and K-nearest neighbours?
,
"if p value is greater than 0.05 for a variable, then why it is considered in multiple regression equation?","If a variable is found with p-value greater than 0.05, why is it also taken for calculation in the regression equation Y=a+b1*X1+b2*X2?"
,
Area under the ROC curve for continuous variable,"How to calculate Area Under the Curve (AUC), or the c-statistic, by hand"
,
What is the purpose of dimension reduction in classification?,Is dimensionality reduction almost always useful for classification?
,
How to add predictors to LSTM time series model?,Deep learning model (LSTM) with temporal and non temporal attributes
,
Confusion about random variables and what they mean,"What is meant by a ""random variable""?"
,
"Expected value of $X$ which follows a normal distribution, between a certain interval","Expected value of x in a normal distribution, GIVEN that it is below a certain value"
,
Formular Derivation - Expected Value Truncated Normal Distribution,"Expected value of x in a normal distribution, GIVEN that it is below a certain value"
,
Does the magnitude of covariance have any real meaning?,How would you explain covariance to someone who understands only the mean?
,
"Confidence intervals from bootMer in R, and pros/cons of different interval types",Prediction interval for lmer() mixed effects model in R
,
Get random numbers that sum to a value N and have a specific variance,How to simulate data that satisfy specific constraints such as having specific mean and standard deviation?
,
How to express fitted ARIMA model output by a mathematical equation?,"How do I write a mathematical equation for ARIMA (2,1,0) x (0,2,2) period 12"
,
How to compare 2 series of ROC curves with AUC?,"Statistical significance (p-value) for comparing two classifiers with respect to (mean) ROC AUC, sensitivity and specificity"
,
Comparison between hierarchical clustering and principal component analysis (PCA),What is the relation between k-means clustering and PCA?
,
How to choose a good batch size for a powerful CPU,Tradeoff batch size vs. number of iterations to train a neural network
,
How to interpret a meta-analytic Confidence Interval through the lens of Frequentism,"Statistical inference when the sample ""is"" the population"
,
NeuralNetwork does not converge given a DataSet,What should I do when my neural network doesn't learn?
,
Interpreting the residuals vs. fitted values plot,Interpreting the residuals vs. fitted values plot for verifying the assumptions of a linear model
,
"Which one to choose Type-I, Type-II, or Type-III ANOVA?","How to interpret type I, type II, and type III ANOVA and MANOVA?"
,
How to fit gamma distribution to events not happen?,ML estimate of exponential distribution (with censored data)
,
How to interpret these results from poly() in binary logistic regression with GLM?,Why the significance of terms in orthogonal polynomial regression changes with the degree of the regression
,
When should an F-test be one sided vs two sided?,Why do we use a one-tailed test F-test in analysis of variance (ANOVA)?
,
Continuous Markov Chains: Deriving the Transition Matrix from the Generator Matrix,Deriving Transition Matrix of the Embedded Markov Chain given the generator matrix?
,
Do we always assume cross entropy cost function for logistic regression solution unless stated otherwise?,Which loss function is correct for logistic regression?
,
How is a ROCAUC=1.0 possible with imperfect accuracy?,Why AUC =1 even classifier has misclassified half of the samples?
,
How does eigenvalues measure variance along the principal components in PCA?,What is an intuitive explanation for how PCA turns from a geometric problem (with distances) to a linear algebra problem (with eigenvectors)?
,
What is the best references / books to get familiar with machine learning algorithms?,Good examples/books/resources to learn about applied machine learning (not just ML itself)
,
How to measure the relation between two random variables that are not linearly correlated?,How do I test a nonlinear association?
,
Keras NN - loss gets stuck at 8.6791,What should I do when my neural network doesn't learn?
,
Determining minimum probability for a standardised variable using the Chebyshev inequality,How to compute Chebyshev bounds on probabilities: one- or two-sided inequality?
,
Can we apply analyticity of a neural network to improve upon gradient descent?,Why is Newton's method not widely used in machine learning?
,
Will the small proportion ruin the ability of chi-square test?,What to do when I have expected count <5 warning for a chi squared test?
,
Can an F-Test be worse than the two single T-Tests?,Significance contradiction in linear regression: significant t-test for a coefficient vs non-significant overall F-statistic
,
Is it OK to use the parameters for the lowest cost?,How to use early stopping properly for training deep neural network?
,
What is Hypothesis set in Machine Learning?,What exactly is a hypothesis space in machine learning?
,
What is the meaning of AUC being high when accuracy is not?,How is a ROCAUC=1.0 possible with imperfect accuracy?
,
question about p values and significance comparison,When to use Fisher and Neyman-Pearson framework?
,
How to judge whether model is overfitting or not,How to judge if a supervised machine learning model is overfitting or not?
,
probability of a digit repeating anywhere within a string,Extending the birthday paradox to more than 2 people
,
"how do you obtain a data set (around 10,000 data points) with a mean of 0 and standard deviation of 1.",How to simulate data that satisfy specific constraints such as having specific mean and standard deviation?
,
Choosing a value for random_state argument in scikit-learn linear regression,Am I creating bias by using the same random seed over and over?
,
Is it wrong to standardise a variable and then centre it for use in multiple regression?,Do you ever center AND standardize variables in multiple regression?
,
Why can't we interpret likelihood as probability?,What is the reason that a likelihood function is not a pdf?
,
I like to generate correlated variables with a existing variable in R,Generate a random variable with a defined correlation to an existing variable(s)
,
How can i start learning about using neural networks for time series analysis and forecasting?,How to apply Neural Network to time series forecasting?
,
Why limiting the weights to not grow to big numbers help to avoid overfitting?,Why do smaller weights result in simpler models in regularization?
,
Why autocorrelation of data lead to the lower estimation of standard error for coefficient?,Why autocorrelation affects OLS coefficient standard errors?
,
TF-IDF vs just TF in text classification,Bag-of-Words for Text Classification: Why not just use word frequencies instead of TFIDF?
,
How to plot binary (presence/absence - 1/0) data against continuous variables,How to use boxplots to find the point where values are more likely to come from different conditions?
,
Reference or a mathematical equation for R squared and adjusted R squared for panel models used in the R package plm,Difference of $R^2$ between OLS with individual dummies to panel fixed effect model?
,
What is the difference between linear and non-linear time series?,What does linear time series refer to?
,
Is there something wrong in my neural network model?,What should I do when my neural network doesn't learn?
,
Uniform PDF of the difference of two r.v,Uniform random variable as sum of two random variables
,
Is there a method to update support vector machine (SVM) parameters?,Is it possible to append training data to existing SVM models?
,
How to retrieve an underlying mathematical model from the decision tree or random forest?,What is the equation for random forest?
,
"R Tukey HSD Anova: Anova significant, Tukey not?",How can I get a significant overall ANOVA but no significant pairwise differences with Tukey's procedure?
,
Least squares - why multiply both sides by the transpose?,Understanding linear algebra in Ordinary Least Squares derivation
,
how can I predict a variable using a correlated variable?,Using x to predict y when they are highly correlated
,
Correlation with Spearman's but nothing on MLR,Why is it possible to get significant F statistic (p<.001) but non-significant regressor t-tests?
,
Ansombe-quartet-like (pedagogical) examples to demonstrate power of visualizations,Datasets constructed for a purpose similar to that of Anscombe's quartet
,
average number of tossing coins till 'Head-Tail-Head' series of observation comes up,Time taken to hit a pattern of heads and tails in a series of coin-tosses
,
What does it mean that $X$ and $Y$ have same probability distribution?,"If random variables are drawn from an identical distribution, why doesn't this guarantee they are independent?"
,
Confidence interval for shift parameter of a shifted exponential distribution,"Confidence interval for the ""shift parameter"" of a non-central exponential distribution"
,
Is it possible for simple RNN to learn infinite sin wave?,How do I make my neural network better at predicting sine waves?
,
Unbalanced logistic regression: correction for intercept term and report,Does an unbalanced sample matter when doing logistic regression?
,
Alternatives to logistic regression when data is unbalanced,Does an unbalanced sample matter when doing logistic regression?
,
Poor recurrent neural network performance on sequential data,What should I do when my neural network doesn't learn?
,
Three-way ANOVA: How to interptret a significant three-way interaction with no significant post-hocs?,"In three-way ANOVA, how to interpret the three-way interaction?"
,
"Why, oh why, does R automatically eliminate variables from my dataset when running lm?",Understanding dummy (manual or automated) variable creation in GLM
,
Neural networks when there are multiple correct answers,Neural Network: What if there are multiple right answers for a given set of inputs?
,
how to correlate categorical and interval scaled data in R,How to correctly assess the correlation between ordinal and a continuous variable?
,
Neural Network cannot learn a simple function,What should I do when my neural network doesn't learn?
,
Backprop working on output layer but not hidden layer,What should I do when my neural network doesn't learn?
,
Convolutional Neural Network - how to ensure filters of same layer learn different features?,Wouldn't multiple filters in a convolutional layer learn the same parameter during training?
,
Paired t-test or Wilcoxon signed sum rank test for a slightly skewed data with a small sample size of 21?,How to deal with ties when conducting Wilcoxon signed rank test?
,
Why do we find eigen vectors of the co-variance matrix in PCA?,What is an intuitive explanation for how PCA turns from a geometric problem (with distances) to a linear algebra problem (with eigenvectors)?
,
Deep Q Network: Cannot reduce training error,What should I do when my neural network doesn't learn?
,
How SVD is used for dimensionality reduction?,Relationship between SVD and PCA. How to use SVD to perform PCA?
,
R : Which method should I choose for correlation analysis of between two dichotomous variables? and How to?,Is it meaningful to calculate Pearson or Spearman correlation between two Boolean vectors?
,
R: different predictor p-value in linear and multi-linear models,R: different predictor p-value in linear and multi-linear models
,
"Why are my drop-out values NOT affecting the accuracy in my recurrent neural model? (IMDB dataset, TFLearn)",What should I do when my neural network doesn't learn?
,
How to determine if my data is discrete or continuous in java?,How to statistically prove if a column has categorical data or not using Python
,
Interpreting p value in SciPy Welch's T-Test,What does the notation like 8.6e-28 mean? What is the 'e' for?
,
What causes a regression model to have positive error when output is large and negative error when output is small?,Trend in residuals vs dependent - but not in residuals vs fitted
,
Clustering correlated variables based on correlation matrix,Clustering variables based on correlations between them
,
Is there any advantage in K-Fold over leave-one-subject-out cross validation?,Optimal number of folds in $K$-fold cross-validation: is leave-one-out CV always the best choice?
,
Why do you often fill NaN by -1?,Why do some people use -999 or -9999 to replace missing values?
,
How to improve this simple neural network in keras for non-linear regression?,What should I do when my neural network doesn't learn?
,
PCA is an autoencoder with linear transfer functions,What're the differences between PCA and autoencoder?
,
"Are unbalanced datasets problematic, and (how) does oversampling (purport to) help?",When is unbalanced data really a problem in Machine Learning?
,
How can a dnorm probability be larger than a corresponding cumulated pnorm probability,Can a probability distribution value exceeding 1 be OK?
,
"exponential of Covariance of two variables in logs, cov(X,Y)=exp(X)*exp(Y)*cov[ln(X),ln(Y)]","Expectation, Variance and Correlation of a bivariate Lognormal distribution"
,
how to estimate confidence interval when p is close to 0 for binomial distribution?,Confidence interval around binomial estimate of 0 or 1
,
Improving MSE: Feed forward network predicting only same output within batches (MSE error),What should I do when my neural network doesn't learn?
,
Random process not so random after all (deterministic),Generate identically distributed dependent normal random numbers with prespecified sum
,
Is there any method for learning regularization parameter?,Optimization when Cost Function Slow to Evaluate
,
How to Interpret Parameter Estimate Output from SPSS,Interpretation of simple predictions to odds ratios in logistic regression
,
Estimate confidence intervals for the P value of the Pearson's Chi-squared test,How to construct a confidence interval for p-value
,
Keras accuracy not affected by any change in model,What should I do when my neural network doesn't learn?
,
Find an expectation of normal random variable,How to calculate the expected value of a standard normal distribution?
,
How to compare the performance of different feature subsets with the same classifier?,"Feature selection for ""final"" model when performing cross-validation in machine learning"
,
Learning a simple sequence with RNN (Keras),What should I do when my neural network doesn't learn?
,
Multivariate Time Series with Long Horizon Prediction,Deep learning model (LSTM) with temporal and non temporal attributes
,
Pattern of out-of-sample reconstruction error in NMF cross-validation: why is it monotonically decreasing?,How to choose an optimal number of latent factors in non-negative matrix factorization?
,
Correlation among different industries of the stock market,"Robust method to extract ""pure"" part of a variable"
,
When and when not to use activation function between input layer and hidden layer?,is there any diffrence to use nonlinear or liner activation function in single hidden layer network
,
how to interpret beta in logistic regression,What is the significance of logistic regression coefficients?
,
Calculating variance from standard error of pearsons r correlations z scores,How to calculate Inverse variance weight of several pearsons r correlations
,
Is Tom Mitchell's Machine Learning book incorrect in its definition of Confidence Interval?,Why does a 95% Confidence Interval (CI) not imply a 95% chance of containing the mean?
,
How Can Poisson Regression Predict a Count of Zero?,"Can a model for non-negative data with clumping at zeros (Tweedie GLM, zero-inflated GLM, etc.) predict exact zeros?"
,
How to read this ACF & PACF plots?,How to interpret these acf and pacf plots
,
Two factor ANOVA with repeated measures by mixed model (lmer),Using lmer for repeated-measures linear mixed-effect model
,
"Are mathematical functions ""easier"" for a neural network to learn?","Can a neural network learn a functional, and its functional derivative?"
,
Where does the 12 come from in the denominator of the variance formula in the Wilcoxon (Mann-Whitney U) test?,Where does the number 12 come from and why is it the same 12 in Wilcoxon and Kruskal Wallis?
,
Hypothesis test for two groups distributed as a Poisson,Checking if two Poisson samples have the same mean
,
symmetric marginal but asymmetric joint distribution contours,Is it possible to have a pair of Gaussian random variables for which the joint distribution is not Gaussian?
,
"Hard time interpreting r output, p value confusion?",What does the notation like 8.6e-28 mean? What is the 'e' for?
,
What are the possible tests for gauging the correlation between two categorical variables?,How to measure correlation between categorical variable?
,
How to find the point where two normal distributions intersect?,Calculate probability (area) under the overlapping area of two normal distributions
,
Can one use independent t-test to compare percentages?,Why use a z test rather than a t test with proportional data?
,
PCA returns the same pair of principal axes for completely different 2D datasets,Does a correlation matrix of two variables always have the same eigenvectors?
,
Null hypothesis and test for no effect,Is it possible to prove a null hypothesis?
,
Perform t-test R two datasets and multiple variables,"T test two data set 3 variables per data set, can be used?"
,
How I can work with data set contains both numerical and non-numerical features?,Can principal component analysis be applied to datasets containing a mix of continuous and categorical variables?
,
The likelihood function: Why is it no pdf?,"What is the difference between ""likelihood"" and ""probability""?"
,
Machine learning books covering neural networks / cnn / GAN,"Neural network references (textbooks, online courses) for beginners"
,
Reliability Logistic Regression - train and evaluate the model,Why is accuracy not the best measure for assessing classification models?
,
Correlation (and significance test) with ordinal predictor and continuous response,How to correctly assess the correlation between ordinal and a continuous variable?
,
How do I prove: the posterier is proportional to the product of the prior distribution and the likelihood function?,Why is posterior density proportional to prior density times likelihood function?
,
Warning message: glm.fit: fitted probabilities numerically 0 or 1 occurred ? What does it mean and how to fix it?,How to deal with perfect separation in logistic regression?
,
Is it a good idea to train a Neural Network on continiously randomly generated training data?,Does it makes sense to perturb images on-the-run while training CNNs?
,
Ridge Regression: When should the intercept be included ? What is the purpose of the intercept term?,When is it ok to remove the intercept in a linear regression model?
,
Is it ok to remove the intercept in a linear regression model (OLS) if the results are really good?,Removal of statistically significant intercept term increases $R^2$ in linear model
,
Making a simple Keras classification with a low sample size,What should I do when my neural network doesn't learn?
,
CLT approximation - how large should sample be so probability is equal to 0.95?,If $P(|X-19.1| \leq a) = 0.98$ then why is it necessarily $P(\frac{X-19.1}{17} \leq \frac{a}{17})= 0.99$?
,
Why do we assume Gaussian margins in Gaussian mixture models,Does assumption of normality of each mixture components implies that each margins is normal
,
Difference between continuous and non-continuous data .,What is the difference between discrete data and continuous data?
,
F test fails but t-test does not?,Significance contradiction in linear regression: significant t-test for a coefficient vs non-significant overall F-statistic
,
Fitting a distribution to data given only the tails? Fitting normal distribution from only the 90th-99th percentile of data,Finding gaussian distribution given 15th and 50th percentile.
,
"Formulation for multiple regression, but with the bias term taken out and treated separately",When is it ok to remove the intercept in a linear regression model?
,
Why is sample variance squared? (Basic Question),Why square the difference instead of taking the absolute value in standard deviation?
,
Why would you want to use a transformation function?,When (and why) should you take the log of a distribution (of numbers)?
,
Build multiple regression model with Y as a Factor in R,Multiple Regression in R with y as a Factor
,
Why is it possible to get insignificant F statistic (p>0.1) but significant regressor t-tests (p<0.1)?,Significance contradiction in linear regression: significant t-test for a coefficient vs non-significant overall F-statistic
,
Minority class misclassification penalty in logistic regression (sklearn),Does an unbalanced sample matter when doing logistic regression?
,
Interpreting t-SNE dimensions in terms of the original features,What is the meaning of the axes in t-SNE?
,
How to normalize a dataset considering unsee samples at deep learning training/inference,How to apply standardization/normalization to train- and testset if prediction is the goal?
,
What is $\lambda_{min}$ that makes all regression coefficients zero in LASSO regression,LASSO: Deriving the smallest lambda at which all coefficient are zero
,
Integral of the inverse of a CDF is the mean of the PDF?,Expected value as a function of quantiles?
,
Regression regularization penalty center at w0 instead of 0,How to implement L2 regularization towards an arbitrary point in space?
,
How to find out if a model is overfitted?,How to judge if a supervised machine learning model is overfitting or not?
,
k-fold crossvalidation: how does MSE go with k?,Bias and variance in leave-one-out vs K-fold cross validation
,
Do I need to perform variable selection before running a ridge regression?,"Before running a ridge regression model, do I need to preform variable selection?"
,
What if both null hypothesis and alternative hypothesis are wrong?,Do null and alternative hypotheses have to be exhaustive or not?
,
Why maximum likelihood estimation is same with minimizing cross-entropy?,the relationship between maximizing the likelihood and minimizing the cross-entropy
,
"In R, how would you test for the joint significance of a set of parameters?",summary of lm to compare models instead of ANOVA
,
Question about pca proof in deeplearning by ian goodfellow,What is an intuitive explanation for how PCA turns from a geometric problem (with distances) to a linear algebra problem (with eigenvectors)?
,
"Build a (normal?) distribution from $n$, quartiles and mean?",Estimating a normal distribution from three order statistics
,
Does not being able to overfit a single training sample mean that the neural network architecure or implementation is wrong?,What should I do when my neural network doesn't learn?
,
What is the stastical perspective of regression?,What is the difference between variable and random variable?
,
Distribution of maximum of normally distributed random variables,Approximate order statistics for normal random variables
,
polynomial regression in R: how to add hard constraints (go through specified points)?,"Perform linear regression, but force solution to go through some particular data points"
,
Why my residual-fitted plot looks like this?,Interpreting plot of residuals vs. fitted values from Poisson regression
,
Why does elimination method for random variables work?,How does the proof of Rejection Sampling make sense?
,
Risks of disproportionate numbers of training examples for different classes?,When is unbalanced data really a problem in Machine Learning?
,
Second derivative test for machine learning algorithms,Why is Newton's method not widely used in machine learning?
,
Updating a Normal Prior with Realized Data,Question about deriving posterior distribution from normal prior and likelihood
,
How is canonical correlation analysis related to multivariate regression?,Objective function of canonical correlation analysis (CCA)
,
Showing that ridge regression is a solution to the following optimization problem,How to find regression coefficients $\beta$ in ridge regression?
,
How can we model a continuous coin tossing system to predict next tossing result and having a variable bias in the coin,How to define prior for beta-binomial A/B test
,
Understanding the R implementation of negative binomial distribution,Understanding the parameters inside the Negative Binomial Distribution
,
How to proof that RandomSearch is better than GridSearch with mathematics?,Practical hyperparameter optimization: Random vs. grid search
,
Getting variance of function of two uniform RVs,Computing variance of squared difference of i.i.d. uniform random variables
,
"For any three random variables $X,Y,Z$, prove or disprove that $\langle XY\rangle$, $\langle XZ\rangle$, $\langle YZ\rangle$ can't all be negative",Bound for the correlation of three random variables
,
How to recreate a particular image from PCA from a database of images?,How to reverse PCA and reconstruct original variables from several principal components?
,
Adaptive Moment Estimate - What is meant by parameters of Adam optimizer are biased towards zero initially?,Why is it important to include a bias correction term for the Adam optimizer for Deep Learning?
,
How to show that $\frac{1}{\theta}$ is a flat prior for $\log\theta$?,Why is uniform prior on log(x) equal to 1/x prior on x?
,
How should I interpret the coefficient in the output of this Logistic Regression?,Interpretation of R's output for binomial regression
,
Why is Gaussian distribution used for Maximum Likelihood estimation with Linear Regression and not some other distribution?,How does linear regression use the normal distribution?
,
How correctly overcome problem with an infinity MAPE?,Why use a certain measure of forecast error (e.g. MAD) as opposed to another (e.g. MSE)?
,
What does small R squared mean in linear regression,R: linear regression: very small coefficient and R-squared but significant P values
,
"In regression, Why correlated error terms makes overconfidence?",Why autocorrelation affects OLS coefficient standard errors?
,
How to find distribution function of sum of 2 random variables that are uniformly distributed?,general solution sum of two uniform random variables aY+bX=Z?
,
Why mean in Gaussian Process is not so important?,Why is the mean function in Gaussian Process uninteresting?
,
Why does gradient descent work faster with ReLU compared to using with Signoid?,How does rectilinear activation function solve the vanishing gradient problem in neural networks?
,
One sided test $H_0:\mu=0$ or $H_0:\mu\leq 0$?,Do null and alternative hypotheses have to be exhaustive or not?
,
Why is there only one discriminant axis when doing Linear Discriminant Analysis on two classes?,"Why with two classes, LDA gives only one dimension?"
,
"While dealing with imbalanced classes, to what extent can we upsample a minority class?",When is unbalanced data really a problem in Machine Learning?
,
Correlation metric for 0-1 vector and real values vector,Correlations between continuous and categorical (nominal) variables
,
Train a neural network for tic tac toe with a genetic algorithm,What should I do when my neural network doesn't learn?
,
"Neural Network in classification task behaves ""weird""",What should I do when my neural network doesn't learn?
,
Training the learning model on the log transformed data?,Back transforming regression results when modeling log(y)
,
Why can't I double my sample to decrease the variance of the estimator in the OLS?,"What are the consequences of ""copying"" a data set for OLS?"
,
Classification model on a highly unbalanced dataset,When is unbalanced data really a problem in Machine Learning?
,
Statistical test for comparing two frequencies with R,Statistical test for comparing two frequencies with R
,
Determining the Direction of Eigenvectors in PCA,"I'm getting ""jumpy"" loadings in rollapply PCA in R. Can I fix it?"
,
Adding more samples to ordinary regression is equall to ridge regression,How to derive the ridge regression solution?
,
Why is gradient descent and it's variants used instead of BFGS and L-BFGS for training neural nets?,Why it is popular to use stochastic gradient descent in neural networks rather than the BFGS algorithm?
,
"Evaluating binary classifier model. What can say precision, recall etc.?",Why is accuracy not the best measure for assessing classification models?
,
Why doesn't the use of a forget gate in LSTMs cause vanishing/dying gradients?,How does LSTM prevent the vanishing gradient problem?
,
Systematic way to determine if a model is linear or nonlinear?,How to tell the difference between linear and non-linear regression models?
,
Combining two multilevel models that are a sort of two stage model,"How do you deal with ""nested"" variables in a regression model?"
,
Different model result with log-transformed vs. original dependent variable in linear mixed model,Linear mixed effect model interpretation with log transformed dependent variable
,
"Discard features with small variance, how to do in practice?",Should I discard a feature whose max - min is smaller than 1e-5?
,
Why Standard Deviation is more popular than Mean Absolute Deviation?,Why square the difference instead of taking the absolute value in standard deviation?
,
Is it possible to find the joint distribution of a random vector if only the distribution of scalar many-to-one transformation is known?,Z is a non-linear transform of X. I know the distribution of Z. Is it possible to sample from X?
,
Beta regression where fractional response adds up to 100%?,Beta regression of proportion data including 1 and 0
,
What should be called a linear regression?,How to tell the difference between linear and non-linear regression models?
,
Calculating regression weights from a covariance matrix,Is there a way to use the covariance matrix to find coefficients for multiple regression?
,
How to test if the difference between the means of two groups is more than a given value?,Can a paired (or two group) t-test test if the difference between two means is less than a specific value?
,
Why isn't accuracy of binary classification model improving?,How to know that your machine learning problem is hopeless?
,
R glm() with a categorical response variable,How to perform a logistic regression for more than 2 response classes in R
,
INTERPRET A REGRESSION MODEL WHEN OUTCOME VARIABLE IS LOG TRANSFORMED,Interpretation of log transformed predictor and/or response
,
Is the critical t-statistic value always 1.96 for the standard normal distribution?,Wald test in regression (OLS and GLMs): t- vs. z-distribution
,
"Fitting model on whole dataset, more or less epochs ? (w.r.t validation accuracy)",Is epoch optimization in CV with constant mini-batch size even possible?
,
How should I interpret a non significant intercept in a GARCH model?,Should I keep a non-significant intercept in a GARCH model?
,
"Squaring floats between -1 and 1 reduces sum of squares, so why do it?",Why square the difference instead of taking the absolute value in standard deviation?
,
Difference between light tail and heavy tail distribution,"Which has the heavier tail, lognormal or gamma?"
,
Modelling percentage and proportion data with GLM's,Time Series of Wound Healing percentages / proportions
,
What does PDF of normal distribution represents?,Can a probability distribution value exceeding 1 be OK?
,
R lm output - t values and Pr(>|t|) don't correspond,What is the meaning of p values and t values in statistical tests?
,
Sufficient set of features for distinguishing items,Minimum set of features that can distinguish all objects
,
Interpretation of beta Coefficients if Transformed in a Multivariate Cox Regression,Interpretation of log transformed predictor and/or response
,
Why increasing lambda parameter in L2-regularization makes the co-efficient values converge to zero,How to derive the ridge regression solution?
,
"Kernel ridge regression with matrix-vector data set $S := \{ X_i, y_i \}_{i=1}^{N}$?","Kernel ridge regression with matrix-vector data set $S := \{ X_i, y_i \}_{i=1}^{N}$?"
,
Which statistical test to use using pretest and post test data?,Best practice when analysing pre-post treatment-control designs
,
How to compute the normalized overlap area between two curves,Percentage of overlapping regions of two normal distributions
,
Number of bootstrap samples to construct confidence interval in mixed models,Rule of thumb for number of bootstrap samples
,
Difference between tensor product and main effects plus interaction in mgcv,R/mgcv: Why do te() and ti() tensor products produce different surfaces?
,
K means minimize Sum of SSEs of clusters,K-means: Why minimizing WCSS is maximizing Distance between clusters?
,
Spikes in loss function of deep neural network training,Explanation of Spikes in training loss vs. iterations with Adam Optimizer
,
At which threshold is unbalanced data a problem for a binary classification tree?,When is unbalanced data really a problem in Machine Learning?
,
Anova() / anova() on a single lme not consistent results - Can you ignore ANOVA?,"R Tukey HSD Anova: Anova significant, Tukey not?"
,
Aren't these statements about confidence intervals equivalent?,Why does a 95% Confidence Interval (CI) not imply a 95% chance of containing the mean?
,
"What does ""properly normalized"" mean in CLT?",What intuitive explanation is there for the central limit theorem?
,
Batch learning in digits recognition (MNIST database),What should I do when my neural network doesn't learn?
,
"How do I write a mathematical equation for seasonal ARIMA (0,0,1) x (2,1,2) period 12","How do I write a mathematical equation for ARIMA (2,1,0) x (0,2,2) period 12"
,
can i use random forest for feature selection and then use poisson regression for model fitting?,Can a random forest be used for feature selection in multiple linear regression?
,
Why does the Y axis change in population density plot when changing from raw scores to z-scores (assuming normal distribution),Can a probability distribution value exceeding 1 be OK?
,
Can Independent T-test be performed on data obtained on same people by 2 different investigator?,Analysing pre-and-post intervention study with anonymous responses
,
normalization coefficient in the central limit theorem,What intuitive explanation is there for the central limit theorem?
,
"What heterogeneity test is appropriate for my study? And, what is the use of correlation between median PFS and median OS",Meta-analysis of means and medians in R?
,
Using a t-test with only 2 discrete values (without a mean),Checking if two Poisson samples have the same mean
,
Is a T-test appropriate for comparing two monthly data sets of mean values where one set is a subset of the other?,How to statistically compare two time series?
,
Which way is correct to write confidence intervals: [a; b] or (a; b)?,Are confidence intervals open or closed intervals?
,
Setting up a MLP for binary classification with tensorflow,What should I do when my neural network doesn't learn?
,
Feasibility of a neural network fitting a specific multivariate quadratic function?,What should I do when my neural network doesn't learn?
,
Test of equality of means if the data is from poisson distribution,Checking if two Poisson samples have the same mean
,
Log-Log in panel data for multiple regression,Interpretation of log transformed predictor and/or response
,
Independent and Identically distributed random variables with value at risk,Why is the sum of two random variables a convolution?
,
Does significance in correlations matter when I have data for the population?,"Statistical inference when the sample ""is"" the population"
,
what would be the null and alternative hypotheses?,What is the meaning of p values and t values in statistical tests?
,
Counting the number of neural network parameters,"What does ""degree of freedom"" mean in neural networks?"
,
My loss is either 0.0 or randomly very high - Tensorflow,What should I do when my neural network doesn't learn?
,
